lut,method,run,noise_base,max_error,input_precision,lut_precision,lut_margin,output_precision,predicted_output_precision,prediction_gap,output_margin,eval_exp_key_switch_count,key_switch_count
ID,BKSS24,1,16,0,-32.262,-25.887,,-26.333,-47.807,21.474,,36,116
ID,BKSS24,1,17,0,-32.358,-25.887,,-26.333,-47.997,21.665,,36,116
ID,BKSS24,1,18,0,-32.248,-25.858,,-26.333,-47.778,21.445,,36,116
ID,BKSS24,1,19,0,-32.222,-25.862,,-26.333,-47.727,21.394,,36,116
ID,BKSS24,1,20,0,-32.127,-25.858,,-26.333,-47.536,21.203,,36,116
ID,BKSS24,1,21,0,-32.235,-25.921,,-26.334,-47.752,21.419,,36,116
ID,BKSS24,1,22,0,-32.076,-25.863,,-26.333,-47.435,21.102,,36,116
ID,BKSS24,1,23,0,-32.319,-25.899,,-26.333,-47.921,21.588,,36,116
ID,BKSS24,1,24,0,-32.228,-25.902,,-26.333,-47.738,21.405,,36,116
ID,BKSS24,1,25,0,-31.798,-25.879,,-26.334,-46.879,20.545,,36,116
ID,BKSS24,1,26,0,-31.662,-25.901,,-26.332,-46.605,20.273,,36,116
ID,BKSS24,1,27,0,-31.237,-25.859,,-26.332,-45.756,19.425,,36,116
ID,BKSS24,1,28,0,-30.62,-25.858,,-26.33,-44.523,18.193,,36,116
ID,BKSS24,1,29,0,-29.871,-25.894,,-26.326,-43.023,16.697,,36,116
ID,BKSS24,1,30,0,-29.008,-25.887,,-26.319,-41.298,14.979,,36,116
ID,BKSS24,1,31,0,-28.08,-25.849,,-26.307,-39.443,13.135,,36,116
ID,BKSS24,1,32,0,-27.117,-25.857,,-26.274,-37.517,11.242,,36,116
ID,BKSS24,1,33,0,-26.143,-25.78,,-26.22,-35.568,9.348,,36,116
ID,BKSS24,1,34,0,-25.153,-25.642,,-26.106,-33.588,7.482,,36,116
ID,BKSS24,1,35,0,-24.158,-25.493,,-25.897,-31.599,5.702,,36,116
ID,BKSS24,1,36,0,-23.161,-25.018,,-25.514,-29.603,4.09,,36,116
ID,BKSS24,1,37,0,-22.162,-24.392,,-24.883,-27.606,2.724,,36,116
ID,BKSS24,1,38,0,-21.163,-23.43,,-23.927,-25.608,1.68,,36,116
ID,BKSS24,1,39,0,-20.163,-22.143,,-22.64,-23.608,0.968,,36,116
ID,BKSS24,1,40,0,-19.163,-20.583,,-21.082,-21.609,0.527,,36,116
ID,BKSS24,1,41,0,-18.163,-18.833,,-19.332,-19.609,0.276,,36,116
ID,BKSS24,1,42,0,-17.163,-16.965,,-17.464,-17.609,0.145,,36,116
ID,BKSS24,1,43,0,-16.163,-15.031,,-15.53,-15.609,0.079,,36,116
ID,BKSS24,1,44,0,-15.163,-13.059,,-13.559,-13.609,0.05,,36,116
ID,BKSS24,1,45,0,-14.163,-11.067,,-11.563,-11.609,0.046,,36,116
ID,BKSS24,1,46,0,-13.163,-9.045,,-9.545,-9.609,0.064,,36,116
