lut,method,run,noise_base,max_error,input_precision,lut_precision,lut_margin,output_precision,predicted_output_precision,prediction_gap,output_margin,eval_exp_key_switch_count,key_switch_count
ID,AKP25,1,16,0,-32.239,-13.827,,-14.313,-47.76,33.447,,36,62
ID,AKP25,1,17,0,-32.09,-13.827,,-14.313,-47.462,33.149,,36,62
ID,AKP25,1,18,0,-32.352,-13.829,,-14.098,-47.986,33.888,,36,62
ID,AKP25,1,19,0,-32.084,-13.818,,-14.313,-47.449,33.136,,36,62
ID,AKP25,1,20,0,-32.128,-13.825,,-14.313,-47.539,33.225,,36,62
ID,AKP25,1,21,0,-32.243,-13.827,,-14.313,-47.768,33.455,,36,62
ID,AKP25,1,22,0,-32.184,-13.827,,-14.313,-47.65,33.337,,36,62
ID,AKP25,1,23,0,-32.248,-13.827,,-14.313,-47.777,33.464,,36,62
ID,AKP25,1,24,0,-32.178,-13.827,,-14.313,-47.637,33.324,,36,62
ID,AKP25,1,25,0,-31.973,-13.82,,-14.313,-47.227,32.914,,36,62
ID,AKP25,1,26,0,-31.565,-13.829,,-14.313,-46.411,32.098,,36,62
ID,AKP25,1,27,0,-31.215,-13.818,,-14.313,-45.711,31.398,,36,62
ID,AKP25,1,28,0,-30.582,-13.825,,-14.313,-44.447,30.133,,36,62
ID,AKP25,1,29,0,-29.875,-13.827,,-14.313,-43.031,28.718,,36,62
ID,AKP25,1,30,0,-29.002,-13.82,,-14.098,-41.287,27.189,,36,62
ID,AKP25,1,31,0,-28.08,-13.82,,-14.313,-39.441,25.128,,36,62
ID,AKP25,1,32,0,-27.122,-13.82,,-14.092,-37.527,23.435,,36,62
ID,AKP25,1,33,0,-26.143,-13.766,,-14.092,-35.568,21.476,,36,62
ID,AKP25,1,34,0,-25.154,-13.825,,-14.313,-33.59,19.277,,36,62
ID,AKP25,1,35,0,-24.158,-13.823,,-14.313,-31.598,17.285,,36,62
ID,AKP25,1,36,0,-23.161,-13.829,,-14.313,-29.604,15.291,,36,62
ID,AKP25,1,37,0,-22.162,-13.82,,-14.098,-27.607,13.509,,36,62
ID,AKP25,1,38,0,-21.163,-13.828,,-14.318,-25.608,11.29,,36,62
ID,AKP25,1,39,0,-20.163,-13.831,,-14.316,-23.608,9.293,,36,62
ID,AKP25,1,40,0,-19.163,-13.77,,-14.102,-21.609,7.507,,36,62
ID,AKP25,1,41,0,-18.163,-13.871,,-14.35,-19.609,5.259,,36,62
ID,AKP25,1,42,0,-17.163,-13.817,,-14.317,-17.609,3.292,,36,62
ID,AKP25,1,43,0,-16.163,-13.423,,-13.92,-15.609,1.689,,36,62
ID,AKP25,1,44,0,-15.163,-12.463,,-12.954,-13.609,0.655,,36,62
ID,AKP25,1,45,0,-14.163,-10.889,,-11.383,-11.609,0.226,,36,62
ID,AKP25,1,46,0,-13.163,-9.0,,-9.5,-9.609,0.109,,36,62
