lut,method,run,noise_base,max_error,input_precision,lut_precision,lut_margin,output_precision,predicted_output_precision,prediction_gap,output_margin,eval_exp_key_switch_count,key_switch_count
ID,FULL THI,1,16,0,-32.225,-22.343,,-22.41,-43.635,21.224,,36,78
ID,FULL THI,1,17,0,-32.211,-22.356,,-22.412,-43.607,21.195,,36,78
ID,FULL THI,1,18,0,-32.162,-22.143,,-22.325,-43.508,21.183,,36,78
ID,FULL THI,1,19,0,-32.372,-22.241,,-22.401,-43.929,21.528,,36,78
ID,FULL THI,1,20,0,-32.351,-22.306,,-22.391,-43.886,21.495,,36,78
ID,FULL THI,1,21,0,-32.248,-22.143,,-22.325,-43.68,21.355,,36,78
ID,FULL THI,1,22,0,-32.243,-22.355,,-22.486,-43.671,21.184,,36,78
ID,FULL THI,1,23,0,-32.22,-22.235,,-22.338,-43.623,21.285,,36,78
ID,FULL THI,1,24,0,-32.069,-22.144,,-22.317,-43.322,21.005,,36,78
ID,FULL THI,1,25,0,-31.901,-22.235,,-22.521,-42.987,20.466,,36,78
ID,FULL THI,1,26,0,-31.637,-22.23,,-22.326,-42.458,20.132,,36,78
ID,FULL THI,1,27,0,-31.2,-22.351,,-22.527,-41.585,19.059,,36,78
ID,FULL THI,1,28,0,-30.656,-22.241,,-22.343,-40.496,18.153,,36,78
ID,FULL THI,1,29,0,-29.859,-22.221,,-22.317,-38.903,16.586,,36,78
ID,FULL THI,1,30,0,-28.98,-22.256,,-22.358,-37.145,14.786,,36,78
ID,FULL THI,1,31,0,-28.087,-22.326,,-22.378,-35.359,12.98,,36,78
ID,FULL THI,1,32,0,-27.124,-22.339,,-22.406,-33.432,11.026,,36,78
ID,FULL THI,1,33,0,-26.14,-22.072,,-22.171,-31.464,9.293,,36,78
ID,FULL THI,1,34,0,-25.154,-22.134,,-22.244,-29.492,7.248,,36,78
ID,FULL THI,1,35,0,-24.158,-21.825,,-21.929,-27.501,5.572,,36,78
ID,FULL THI,1,36,0,-23.161,-21.313,,-21.436,-25.506,4.071,,36,78
ID,FULL THI,1,37,0,-22.162,-20.785,,-20.918,-23.509,2.591,,36,78
ID,FULL THI,1,38,0,-21.163,-19.464,,-19.609,-21.51,1.901,,36,78
ID,FULL THI,1,39,0,-20.163,-18.107,,-18.291,-19.511,1.22,,36,78
ID,FULL THI,1,40,0,-19.163,-16.512,,-16.676,-17.511,0.835,,36,78
ID,FULL THI,1,41,0,-18.163,-14.747,,-14.915,-15.511,0.596,,36,78
ID,FULL THI,1,42,0,-17.163,-12.874,,-13.042,-13.511,0.469,,36,78
ID,FULL THI,1,43,0,-16.163,-10.941,,-11.107,-11.511,0.405,,36,78
ID,FULL THI,1,44,0,-15.163,-8.974,,-9.124,-9.511,0.387,,36,78
ID,FULL THI,1,45,254,-14.163,-8.508,,-9.0,-7.511,-1.489,,36,78
ID,FULL THI,1,46,251,-13.163,-8.505,,-9.0,-5.511,-3.489,,36,78
