lut,method,run,noise_base,max_error,input_precision,lut_precision,lut_margin,output_precision,predicted_output_precision,prediction_gap,output_margin,eval_exp_key_switch_count,key_switch_count
ID,Sparse THI,1,24,0,-32.044,-29.78,,-30.279,-156.67,126.392,,36,46
ID,Sparse THI,1,25,0,-31.874,-29.78,,-30.279,-155.654,125.375,,36,46
ID,Sparse THI,1,26,0,-31.685,-29.78,,-30.279,-154.52,124.241,,36,46
ID,Sparse THI,1,27,0,-31.227,-29.78,,-30.279,-151.769,121.491,,36,46
ID,Sparse THI,1,28,0,-30.578,-29.78,,-30.279,-147.876,117.597,,36,46
ID,Sparse THI,1,29,0,-29.865,-29.779,,-30.279,-143.597,113.318,,36,46
ID,Sparse THI,1,30,0,-29.022,-29.78,,-30.279,-138.538,108.26,,36,46
ID,Sparse THI,1,31,0,-28.088,-29.78,,-30.279,-132.936,102.658,,36,46
ID,Sparse THI,1,32,0,-27.127,-29.78,,-30.279,-127.169,96.89,,36,46
ID,Sparse THI,1,33,0,-26.141,-29.78,,-30.279,-121.253,90.974,,36,46
ID,Sparse THI,1,34,0,-25.153,-29.78,,-30.279,-115.326,85.047,,36,46
ID,Sparse THI,1,35,0,-24.159,-29.78,,-30.279,-109.358,79.079,,36,46
ID,Sparse THI,1,36,0,-23.161,-29.78,,-30.279,-103.371,73.092,,36,46
ID,Sparse THI,1,37,0,-22.162,-29.78,,-30.279,-97.381,67.102,,36,46
ID,Sparse THI,1,38,0,-21.163,-29.78,,-30.279,-91.385,61.106,,36,46
ID,Sparse THI,1,39,0,-20.163,-29.78,,-30.279,-85.386,55.107,,36,46
ID,Sparse THI,1,40,0,-19.163,-29.78,,-30.279,-79.387,49.108,,36,46
ID,Sparse THI,1,41,0,-18.163,-29.78,,-30.279,-73.388,43.109,,36,46
ID,Sparse THI,1,42,0,-17.163,-29.78,,-30.279,-67.388,37.109,,36,46
ID,Sparse THI,1,43,0,-16.163,-29.78,,-30.279,-61.388,31.109,,36,46
ID,Sparse THI,1,44,0,-15.163,-29.78,,-30.279,-55.388,25.109,,36,46
ID,Sparse THI,1,45,0,-14.163,-29.78,,-30.277,-49.388,19.111,,36,46
ID,Sparse THI,1,46,0,-13.163,-29.772,,-30.269,-43.388,13.119,,36,46
ID,Sparse THI,1,47,0,-12.163,-29.758,,-30.255,-37.388,7.134,,36,46
ID,Sparse THI,1,48,0,-11.163,-29.509,,-30.055,-31.388,1.333,,36,46
ID,Sparse THI,1,49,0,-10.163,-24.997,,-25.497,-25.388,-0.109,,36,46
ID,Sparse THI,1,50,0,-9.163,-18.922,,-19.422,-19.388,-0.034,,36,46
ID,Sparse THI,1,51,0,-8.163,-13.014,,-13.514,-13.388,-0.126,,36,46
ID,Sparse THI,1,52,0,-7.163,-7.66,,-8.16,-7.388,-0.772,,36,46
ID,Sparse THI,1,53,3,-6.163,-4.575,,-5.075,-1.388,-3.687,,36,46
