lut,method,run,noise_base,max_error,input_precision,lut_precision,lut_margin,output_precision,predicted_output_precision,prediction_gap,output_margin,eval_exp_key_switch_count,key_switch_count
ID,AKP25,1,16,0,-31.307,-17.665,,-18.165,-53.902,35.737,,36,18
ID,AKP25,1,17,0,-31.292,-17.665,,-18.165,-53.872,35.707,,36,18
ID,AKP25,1,18,0,-31.337,-17.665,,-18.104,-53.961,35.857,,36,18
ID,AKP25,1,19,0,-31.317,-17.665,,-18.104,-53.921,35.818,,36,18
ID,AKP25,1,20,0,-31.324,-17.665,,-18.165,-53.935,35.77,,36,18
ID,AKP25,1,21,0,-31.402,-17.665,,-18.042,-54.091,36.049,,36,18
ID,AKP25,1,22,0,-31.335,-17.665,,-18.042,-53.957,35.915,,36,18
ID,AKP25,1,23,0,-31.289,-17.665,,-18.165,-53.866,35.7,,36,18
ID,AKP25,1,24,0,-31.391,-17.665,,-18.042,-54.07,36.029,,36,18
ID,AKP25,1,25,0,-31.158,-17.665,,-18.12,-53.603,35.483,,36,18
ID,AKP25,1,26,0,-31.043,-17.652,,-18.042,-53.373,35.331,,36,18
ID,AKP25,1,27,0,-30.706,-17.665,,-18.165,-52.7,34.535,,36,18
ID,AKP25,1,28,0,-30.267,-17.665,,-18.104,-51.821,33.717,,36,18
ID,AKP25,1,29,0,-29.632,-17.665,,-18.165,-50.552,32.386,,36,18
ID,AKP25,1,30,0,-28.872,-17.665,,-18.165,-49.032,30.867,,36,18
ID,AKP25,1,31,0,-28.019,-17.665,,-18.104,-47.325,29.221,,36,18
ID,AKP25,1,32,0,-27.083,-17.665,,-18.042,-45.453,27.411,,36,18
ID,AKP25,1,33,0,-26.124,-17.665,,-18.165,-43.535,25.37,,36,18
ID,AKP25,1,34,0,-25.145,-17.665,,-18.165,-41.578,23.412,,36,18
ID,AKP25,1,35,0,-24.154,-17.665,,-18.104,-39.595,21.492,,36,18
ID,AKP25,1,36,0,-23.159,-17.665,,-18.165,-37.605,19.439,,36,18
ID,AKP25,1,37,0,-22.161,-17.665,,-18.042,-35.61,17.568,,36,18
ID,AKP25,1,38,0,-21.162,-17.665,,-18.12,-33.612,15.492,,36,18
ID,AKP25,1,39,0,-20.163,-17.642,,-18.042,-31.613,13.572,,36,18
ID,AKP25,1,40,0,-19.163,-17.666,,-18.042,-29.614,11.572,,36,18
ID,AKP25,1,41,0,-18.163,-17.668,,-18.105,-27.614,9.509,,36,18
ID,AKP25,1,42,0,-17.163,-17.653,,-18.05,-25.614,7.565,,36,18
ID,AKP25,1,43,0,-16.163,-17.7,,-18.135,-23.615,5.479,,36,18
ID,AKP25,1,44,0,-15.163,-17.625,,-18.078,-21.615,3.537,,36,18
ID,AKP25,1,45,0,-14.163,-17.295,,-17.748,-19.615,1.867,,36,18
ID,AKP25,1,46,0,-13.163,-16.411,,-16.906,-17.615,0.709,,36,18
ID,AKP25,1,47,0,-12.163,-14.91,,-15.408,-15.615,0.207,,36,18
ID,AKP25,1,48,0,-11.163,-13.053,,-13.54,-13.615,0.075,,36,18
ID,AKP25,1,49,0,-10.163,-11.078,,-11.577,-11.615,0.037,,36,18
ID,AKP25,1,50,0,-9.163,-9.064,,-9.564,-9.615,0.05,,36,18
ID,AKP25,1,51,0,-8.163,-7.024,,-7.524,-7.615,0.09,,36,18
ID,AKP25,1,52,0,-7.163,-4.953,,-5.453,-5.615,0.161,,36,18
ID,AKP25,1,53,2,-6.163,-4.669,,-5.169,-3.615,-1.554,,36,18
