lut,method,run,noise_base,max_error,input_precision,lut_precision,lut_margin,output_precision,predicted_output_precision,prediction_gap,output_margin,eval_exp_key_switch_count,key_switch_count
ID,AKP25,1,16,0,-31.405,-18.112,,-18.612,-108.396,89.784,,36,24
ID,AKP25,1,17,0,-31.415,-18.112,,-18.489,-108.437,89.948,,36,24
ID,AKP25,1,18,0,-31.251,-18.112,,-18.612,-107.779,89.167,,36,24
ID,AKP25,1,19,0,-31.251,-18.112,,-18.612,-107.78,89.167,,36,24
ID,AKP25,1,20,0,-31.314,-18.112,,-18.489,-108.03,89.541,,36,24
ID,AKP25,1,21,0,-31.328,-18.112,,-18.612,-108.088,89.476,,36,24
ID,AKP25,1,22,0,-31.265,-18.112,,-18.551,-107.834,89.283,,36,24
ID,AKP25,1,23,0,-31.328,-18.112,,-18.612,-108.086,89.474,,36,24
ID,AKP25,1,24,0,-31.364,-18.112,,-18.511,-108.231,89.721,,36,24
ID,AKP25,1,25,0,-31.058,-18.112,,-18.612,-107.006,88.394,,36,24
ID,AKP25,1,26,0,-31.037,-18.112,,-18.489,-106.924,88.435,,36,24
ID,AKP25,1,27,0,-30.647,-18.112,,-18.612,-105.362,86.749,,36,24
ID,AKP25,1,28,0,-30.244,-18.112,,-18.489,-103.75,85.261,,36,24
ID,AKP25,1,29,0,-29.602,-18.112,,-18.489,-101.183,82.694,,36,24
ID,AKP25,1,30,0,-28.865,-18.112,,-18.612,-98.236,79.624,,36,24
ID,AKP25,1,31,0,-28.022,-18.112,,-18.489,-94.863,76.374,,36,24
ID,AKP25,1,32,0,-27.092,-18.112,,-18.612,-91.144,72.532,,36,24
ID,AKP25,1,33,0,-26.125,-18.112,,-18.489,-87.276,68.787,,36,24
ID,AKP25,1,34,0,-25.145,-18.112,,-18.612,-83.357,64.745,,36,24
ID,AKP25,1,35,0,-24.154,-18.112,,-18.551,-79.391,60.841,,36,24
ID,AKP25,1,36,0,-23.158,-18.112,,-18.612,-75.408,56.795,,36,24
ID,AKP25,1,37,0,-22.161,-18.112,,-18.551,-71.42,52.869,,36,24
ID,AKP25,1,38,0,-21.162,-18.112,,-18.551,-67.425,48.874,,36,24
ID,AKP25,1,39,0,-20.163,-18.112,,-18.612,-63.427,44.814,,36,24
ID,AKP25,1,40,0,-19.163,-18.112,,-18.612,-59.428,40.816,,36,24
ID,AKP25,1,41,0,-18.163,-18.113,,-18.55,-55.429,36.878,,36,24
ID,AKP25,1,42,0,-17.163,-18.113,,-18.55,-51.429,32.879,,36,24
ID,AKP25,1,43,0,-16.163,-18.113,,-18.613,-47.429,28.816,,36,24
ID,AKP25,1,44,0,-15.163,-18.113,,-18.549,-43.429,24.88,,36,24
ID,AKP25,1,45,0,-14.163,-18.114,,-18.614,-39.429,20.815,,36,24
ID,AKP25,1,46,0,-13.163,-18.117,,-18.617,-35.429,16.813,,36,24
ID,AKP25,1,47,0,-12.163,-18.122,,-18.622,-31.429,12.808,,36,24
ID,AKP25,1,48,0,-11.163,-18.145,,-18.645,-27.429,8.785,,36,24
ID,AKP25,1,49,0,-10.163,-17.991,,-18.438,-23.429,4.992,,36,24
ID,AKP25,1,50,0,-9.163,-16.165,,-16.656,-19.429,2.773,,36,24
ID,AKP25,1,51,0,-8.163,-12.467,,-12.959,-15.429,2.47,,36,24
ID,AKP25,1,52,0,-7.163,-8.443,,-8.943,-11.429,2.487,,36,24
ID,AKP25,1,53,1,-6.163,-4.526,,-5.026,-7.429,2.404,,36,24
