#### TestType,Descr,scheme,ptModulus,digitSize,standardDeviation,secretKeyDist,maxRelinSkDeg,ksTech,scalTech,firstModSize,batchSize,numLargeDigits,multiplicativeDepth,scalingModSize,securityLevel,ringDim,evalAddCount,keySwitchCount,encryptionTechnique,multiplicationTechnique,multiHopModSize,PREMode,multipartyMode,executionMode,decryptionNoiseMode,noiseEstimate,desiredPrecision,statisticalSecurity,numAdversarialQueries,thresholdNumOfParties,interactiveBootCompressionLevel,Error,indexList
BGVRNS_AUTOMORPHISM,1,BGVRNS_SCHEME,17,1,,,,BV,FIXEDMANUAL,,,,,,HEStd_NotSet,8,,,,,,,,,,,,,,,,SUCCESS,3|5|7|9|11|13|15
BGVRNS_AUTOMORPHISM,2,BGVRNS_SCHEME,17,1,,,,BV,FIXEDMANUAL,,,,,,HEStd_NotSet,8,,,,,,,,,,,,,,,,INVALID_INPUT_DATA,3|5|7|9|11|13|15
BGVRNS_AUTOMORPHISM,3,BGVRNS_SCHEME,17,1,,,,BV,FIXEDMANUAL,,,,,,HEStd_NotSet,8,,,,,,,,,,,,,,,,INVALID_PRIVATE_KEY,3|5|7|9|11|13|15
BGVRNS_AUTOMORPHISM,4,BGVRNS_SCHEME,17,1,,,,BV,FIXEDMANUAL,,,,,,HEStd_NotSet,8,,,,,,,,,,,,,,,,INVALID_PUBLIC_KEY,3|5|7|9|11|13|15
BGVRNS_AUTOMORPHISM,5,BGVRNS_SCHEME,17,1,,,,BV,FIXEDMANUAL,,,,,,HEStd_NotSet,8,,,,,,,,,,,,,,,,INVALID_EVAL_KEY,3|5|7|9|11|13|15
BGVRNS_AUTOMORPHISM,6,BGVRNS_SCHEME,17,1,,,,BV,FIXEDMANUAL,,,,,,HEStd_NotSet,8,,,,,,,,,,,,,,,,INVALID_INDEX,3|5|7|9|11|13|15
BGVRNS_AUTOMORPHISM,7,BGVRNS_SCHEME,17,1,,,,BV,FIXEDAUTO,,,,,,HEStd_NotSet,8,,,,,,,,,,,,,,,,SUCCESS,3|5|7|9|11|13|15
BGVRNS_AUTOMORPHISM,8,BGVRNS_SCHEME,17,1,,,,BV,FIXEDAUTO,,,,,,HEStd_NotSet,8,,,,,,,,,,,,,,,,INVALID_INPUT_DATA,3|5|7|9|11|13|15
BGVRNS_AUTOMORPHISM,9,BGVRNS_SCHEME,17,1,,,,BV,FIXEDAUTO,,,,,,HEStd_NotSet,8,,,,,,,,,,,,,,,,INVALID_PRIVATE_KEY,3|5|7|9|11|13|15
BGVRNS_AUTOMORPHISM,10,BGVRNS_SCHEME,17,1,,,,BV,FIXEDAUTO,,,,,,HEStd_NotSet,8,,,,,,,,,,,,,,,,INVALID_PUBLIC_KEY,3|5|7|9|11|13|15
BGVRNS_AUTOMORPHISM,11,BGVRNS_SCHEME,17,1,,,,BV,FIXEDAUTO,,,,,,HEStd_NotSet,8,,,,,,,,,,,,,,,,INVALID_EVAL_KEY,3|5|7|9|11|13|15
BGVRNS_AUTOMORPHISM,12,BGVRNS_SCHEME,17,1,,,,BV,FIXEDAUTO,,,,,,HEStd_NotSet,8,,,,,,,,,,,,,,,,INVALID_INDEX,3|5|7|9|11|13|15
BGVRNS_AUTOMORPHISM,13,BGVRNS_SCHEME,17,1,,,,BV,FLEXIBLEAUTO,,,,,,HEStd_NotSet,8,,,,,,,,,,,,,,,,SUCCESS,3|5|7|9|11|13|15
